,ecli,drug,relevant_countries,volume,volume_type,general_drug_type,general_volume_type,countries_present,verdict_date
0,ECLI:NL:OGHACMB:2020:78,cocaïne,['Curaçao'],N/A,N/A,harddrugs,undefined,{'Curaçao': ['Curaçao']},2020-12-03
1,ECLI:NL:OGHACMB:2020:78,hennep,['Curaçao'],N/A,N/A,softdrugs,undefined,{'Curaçao': ['Curaçao']},2020-12-03
2,ECLI:NL:OGHACMB:2020:82,cocaïne,['Curaçao'],N/A,N/A,harddrugs,undefined,"{'Curaçao': ['Curaçao', 'Klein Curaçao', 'Curacao']}",2020-12-03
3,ECLI:NL:OGHACMB:2020:82,hennep,['Curaçao'],N/A,N/A,softdrugs,undefined,"{'Curaçao': ['Curaçao', 'Klein Curaçao', 'Curacao']}",2020-12-03
4,ECLI:NL:OGEAC:2018:352,hennep,[],N/A,N/A,softdrugs,undefined,{'Curaçao': ['Curaçao']},2018-06-29
5,ECLI:NL:OGEAC:2018:352,hashish,[],N/A,N/A,softdrugs,undefined,{'Curaçao': ['Curaçao']},2018-06-29
6,ECLI:NL:OGEAC:2018:353,cocaïne,[],N/A,N/A,harddrugs,undefined,{'Curaçao': ['Curaçao']},2018-06-29
7,ECLI:NL:OGHACMB:2017:257,cocaïne,[],N/A,N/A,harddrugs,undefined,"{'Aruba': ['Aruba Curaçao Sint Maarten', 'Aruba']}",2017-01-16
8,ECLI:NL:OGHACMB:2017:257,drugs,"['Aruba', 'Belgium']",1100,kilo,unspecified,kg,"{'Aruba': ['Aruba Curaçao Sint Maarten', 'Aruba']}",2017-01-16
9,ECLI:NL:OGEAC:2018:354,hennep,[],N/A,N/A,softdrugs,undefined,{'Curaçao': ['Curaçao']},2018-12-19
10,ECLI:NL:OGEAC:2018:354,hashish,[],N/A,N/A,softdrugs,undefined,{'Curaçao': ['Curaçao']},2018-12-19
11,ECLI:NL:GHAMS:2018:2662,cocaïne,['Argentina'],900,gram,harddrugs,gr,{'Argentina': ['Argentinië']},2018-03-07
12,ECLI:NL:OGHACMB:2018:269,cocaïne,[],N/A,N/A,harddrugs,undefined,{'Aruba': ['Aruba']},2018-05-02
13,ECLI:NL:OGHACMB:2018:269,hennep,[],N/A,N/A,softdrugs,undefined,{'Aruba': ['Aruba']},2018-05-02
14,ECLI:NL:OGHACMB:2018:269,cocaine,[],N/A,N/A,harddrugs,undefined,{'Aruba': ['Aruba']},2018-05-02
15,ECLI:NL:RBAMS:2017:9087,cocaïne,"['Colombia', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Spain': ['Barcelona'], 'Colombia': ['Santa Martha', 'Colombia', 'Cartagena', 'Medellin'], 'Belgium': ['Antwerpen', 'België'], 'United Kingdom': ['Rusland']}",2017-08-12
16,ECLI:NL:RBAMS:2017:9085,cocaïne,"['Colombia', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Spain': ['Barcelona'], 'Colombia': ['Santa Martha', 'Colombia', 'Cartagena', 'Medellin'], 'Belgium': ['Antwerpen', 'België'], 'United Kingdom': ['Rusland']}",2017-08-12
17,ECLI:NL:RBAMS:2017:9086,cocaïne,"['Colombia', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Colombia': ['Colombia', 'Cartagena', 'Medellin'], 'Spain': ['Barcelona'], 'Belgium': ['Antwerpen', 'België'], 'United Kingdom': ['Rusland']}",2017-08-12
18,ECLI:NL:RBAMS:2017:9088,cocaïne,"['Colombia', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Spain': ['Barcelona'], 'Colombia': ['Santa Martha', 'Colombia', 'Cartagena', 'Medellin'], 'Belgium': ['Antwerpen', 'België'], 'United Kingdom': ['Rusland']}",2017-08-12
19,ECLI:NL:RBAMS:2017:9089,cocaïne,"['Colombia', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Belgium': ['Brussel', 'Antwerpen', 'België'], 'Spain': ['Spanje', 'Barcelona'], 'Colombia': ['Colombia', 'Santa Martha', 'Cartagena', 'Medellin'], 'United Kingdom': ['Rusland']}",2017-08-12
20,ECLI:NL:RBAMS:2017:9090,cocaïne,"['United States', 'Netherlands']",234,milliliter,harddrugs,ml,"{'United States': ['tott'], 'Belgium': ['Brussel', 'Antwerpen', 'België'], 'Spain': ['Spanje', 'Barcelona'], 'Colombia': ['Santa Martha', 'Colombia', 'Cartagena', 'Medellin'], 'United Kingdom': ['Rusland']}",2017-08-12
21,ECLI:NL:RBAMS:2017:9091,cocaïne,"['Colombia', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Colombia': ['Colombia', 'Santa Martha', 'Cartagena', 'Medellin'], 'Spain': ['Barcelona'], 'Belgium': ['Antwerpen', 'België'], 'United Kingdom': ['Rusland'], 'France': ['Frankrijk']}",2017-08-12
22,ECLI:NL:RBAMS:2017:9092,cocaïne,"['Colombia', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Colombia': ['Colombia', 'Santa Martha', 'Cartagena', 'Medellin'], 'Spain': ['Barcelona'], 'Belgium': ['Antwerpen', 'België'], 'United Kingdom': ['Rusland']}",2017-08-12
23,ECLI:NL:OGHACMB:2018:277,cocaïne,['Jamaica'],twee,kilo,harddrugs,kg,"{'Curaçao': ['Curaçao'], 'Jamaica': ['Jamaica']}",2018-07-19
24,ECLI:NL:RBLEE:2010:BL3692,hasjiesj,"['Netherlands', 'Morocco']",10.000,kilogram,softdrugs,kg,"{'Morocco': ['Marokko'], 'Spain': ['Spanje'], 'Portugal': ['Portugal']}",2010-11-02
25,ECLI:NL:RBLEE:2010:BL3692,hennep,"['Netherlands', 'Morocco']",10.000,kilo,softdrugs,kg,"{'Morocco': ['Marokko'], 'Spain': ['Spanje'], 'Portugal': ['Portugal']}",2010-11-02
26,ECLI:NL:RBROT:2014:9162,heroïne,"['Netherlands', 'Belgium', 'France']",N/A,N/A,harddrugs,undefined,"{'Belgium': ['België', 'Belgie'], 'France': ['Frankrijk'], 'Morocco': ['Marokko']}",2014-09-09
27,ECLI:NL:RBROT:2014:9162,diacetylmorfine,"['Netherlands', 'Belgium', 'France']",N/A,N/A,harddrugs,undefined,"{'Belgium': ['België', 'Belgie'], 'France': ['Frankrijk'], 'Morocco': ['Marokko']}",2014-09-09
28,ECLI:NL:RBROT:2014:9162,cocaine,"['Netherlands', 'Belgium', 'France']",N/A,N/A,harddrugs,undefined,"{'Belgium': ['België', 'Belgie'], 'France': ['Frankrijk'], 'Morocco': ['Marokko']}",2014-09-09
29,ECLI:NL:RBROT:2014:9162,cocaïne,"['Netherlands', 'Belgium', 'France']",N/A,N/A,harddrugs,undefined,"{'Belgium': ['België', 'Belgie'], 'France': ['Frankrijk'], 'Morocco': ['Marokko']}",2014-09-09
30,ECLI:NL:RBLEE:2010:BL3686,hash,"['Morocco', 'Netherlands']",N/A,N/A,softdrugs,undefined,"{'Morocco': ['Marokko'], 'Portugal': ['Portugal']}",2010-11-02
